key,regex_domain,content_hash,action,domain_corrected,entity
86531629fe43208ba07dc5fb924bb4a9cc7779e0326fcb0c2599f139087e7e5c,commerce,d33a35eb7b3ea18b,provision,cloud,Webpage
4806a51ac5e35db65b89c7df21699179da5d49595e93464894ef6065b0402398,,9fcb0f66307ac287,provision,cloud,Webpage
ede33d0612c326e246f43ea066bc030dfec031caeab75040e887b914d47156b3,,a5e0ae84a7cd10f5,provision,cloud,Webpage
ff647bd3a7860d73f3ee6556c062f50fb2a41b8f6a5f0c3fead2d081fa9b3c97,,f4fb82de1f4494bc,provision,cloud,Domain
d885899e628517c4114cac1c26230288da50d1064f275eaa00f7b002d7ec5b3b,,7641766ec1fd82d8,execute,cloud,Domain
e1c0d7c56b759bb2909b5b4f5daa21120077516b589f35510b3d1b5c18432e4d,travel,8dfbdd903caec2b9,lookup,,
ad81cd8b3a091955b61179d3cbb6222064b19ae4ac998c9831b391b15654855d,travel,70cdfaae44c67d7f,search,,
a2ae87ff20b013fc770e52dd54a7072e61d59399dcc51ed0566dd14d92f55f54,travel,f1999c5e8a052c7f,search,,
8eb46f0074fbc4c9fa8cb5bbd603ab2c1fd8e54298ab75fb85836719467149a6,travel,48474a2af4753195,provision,,
b96444f44daea5e28ae6ddae1e2a53122853bd704f0a2dfea99f9a5c7aa1be1d,,a2b872ecdbdc6ef7,lookup,travel,
f22ed30f1d5ff6cea944a9801c151a584dddbabcc00b7e83ebc048682f60190a,travel,fd0ce20ae4038512,lookup,,
8aee7c4a91daf124aec7245dbc2698bf661786915ea9c8fb129b06e95e68e590,travel,4c08582a0c04774d,search,,
6e7461db04258ee45a356a7fea60c7062ca5e75b2986db629b3b8fcf19c8ea12,,d4e786d5e178fe5b,lookup,cloud,Domain
150dffb275822e140d595c39886fafa9ad1ff9bbf8af30766e758307b7dec46b,,ef0268afe40140cb,lookup,cloud,
c2dd4e2fe3f934474fd2901ee5a4b0f33490ccdaff70aee702c48d0a0e8cd696,commerce,a854c68745f2b083,lookup,web,
dc16eab8d0d18661138f68f411f33c3b1d725b1ae256d32194f1aa9ffcab4e59,commerce,c143133a90bde339,lookup,,
010aafe8720ea486ee692a32ec9fd43dc5e5073a63008f7a269dfa40ceabbfa6,comms,1541dbe37b461e40,provision,cloud,Mailbox
5f06cd46211ff53471fa8ba92c80999097d41045abc1faab208dc22a62cb1cd2,commerce,5a0f0f510466e898,analyze,,
868a0cd1699bb0f9e7aa9c4078f768007349cd8676710909442cf66098846a19,commerce,0bc62230ea4e3b5f,generate,cloud,Domain
5e590a1a15bcf393ce4017c41c29dcad82d7d6f104b1a3bdc863245544150b3b,data,3ba93461da94f288,generate,cloud,Domain
b06c6578360ace3e176cb880e3d074345a6e1ad9581e4b9fc83eafc2e8542420,,953d384707f5df5a,generate,cloud,Domain
002e50bc4bbb4716abc08791c5ba7654036e93c7f2893435f0ed506469995221,data,1df82ed6093bc300,monitor,cloud,Domain
8095b6c3ceeaa2b5be2f95d193dd5432fe5da90c0247257a50a2631d92c71fdb,commerce,5c3fe9cfc1b61f45,analyze,,
e4974add6b8bd7b307cf06c04424eb4dfb8017d7395009cf1f90c0ee7f4675db,commerce,9097e44f7882b4ad,analyze,,
ab27775367640d1d94a9e4d677e4722aa08a888e095ceedb372956021b7e1c1a,travel,76c2500b58ebc789,analyze,,
5a3a45f77f36a83fd814c13ac95ac08be8faa954d46bf173c196996374ecf2f1,commerce,7ee939de71124634,analyze,,
d6b4fb605a3b47b68b74e10bbbdc1f91950edba10cdce8bc15c60aa5cc469147,commerce,7775a0b69e846f4d,extract,,
d27c4e7daba7be64bf2c9230da28d9e8d620f0333e6b686e6a20f2eb7d26cc59,,f9430898f67d18c7,lookup,cloud,Domain
c0680954ae7f96e224790960f06a89cf246c8dce0433c3bcea4d3d189e044382,finance,3027fdfa5cc589e6,analyze,cloud,Domain
205ba05c7758fe29b21d0267969a9939f96a9047a69751b65dc0e84050c9b14f,commerce,b734d373498aa8b4,compare,cloud,Domain
d3765b5ec2d7a97f22bf127754be18b919523f4778d344f15cf2f7e1a023d4a2,ai,dae283c96d1525c2,analyze,cloud,Domain
9471757c0d1aace3c23faf94a4f5f1ddfd34b66ae0ea66161e9fd5c8f6b1a649,,506a4a233cd6f824,analyze,cloud,Domain
b4a149c9f92a6114d367863192c75062bb218092e2faa88cf08b96bc2d2e0e70,travel,b40267d5f2496225,lookup,,
f479d0ce432ff9673309c94c058b278d9da88bed87fef77bda53190aee32b104,,909f00981bcb1c1b,provision,cloud,Domain
