key,method,path,origin,summary,description,inputs,bound_intents,regex_domain,action,domain_corrected,entity
86531629fe43208ba07dc5fb924bb4a9cc7779e0326fcb0c2599f139087e7e5c,POST,/api/site/renew,https://stableupload.dev,Renew a site for count x the original tier retention window. Price = tier price x count.,,uploadId | tier | count,cloud.domains,shop,provision,storage,Webpage
4806a51ac5e35db65b89c7df21699179da5d49595e93464894ef6065b0402398,POST,/api/site/domain,https://stableupload.dev,Connect a custom domain to a site. Creates TLS cert and routes the hostname to the site.,,uploadId | hostname,cloud.domains,,provision,cloud,Webpage
ede33d0612c326e246f43ea066bc030dfec031caeab75040e887b914d47156b3,DELETE,/api/site/domain,https://stableupload.dev,Detach a custom domain from a site.,,uploadId,cloud.domains,,provision,cloud,Webpage
ff647bd3a7860d73f3ee6556c062f50fb2a41b8f6a5f0c3fead2d081fa9b3c97,GET,/ui/custom-domain/pay/register,https://mail.cusethejuice.com,"""Register a custom domain (annual x402, browser flow) ($10 via x402)""","""Register a custom domain (annual x402, browser flow).""",,cloud.domains,,provision,cloud,Domain
d885899e628517c4114cac1c26230288da50d1064f275eaa00f7b002d7ec5b3b,GET,/ui/domain-admin/pay/login,https://mail.cusethejuice.com,Domain administrator login (x402 pay step) ($0.01 via x402),Domain administrator login (x402 pay step).,,cloud.domains,,execute,cloud,Domain
e1c0d7c56b759bb2909b5b4f5daa21120077516b589f35510b3d1b5c18432e4d,GET,/api/hotels/ratings,https://stabletravel.dev,Get hotel sentiment ratings and reviews,,hotelIds,travel.place_reviews,travel,lookup,,
ad81cd8b3a091955b61179d3cbb6222064b19ae4ac998c9831b391b15654855d,GET,/api/hotels/search/by-hotel,https://stabletravel.dev,Search hotel offers for a specific hotel,,hotelId | adults | checkInDate | checkOutDate | countryOfResidence | priceRange | currencyCode | paymentPolicy | boardType | includeClosed | bestRateOnly | lang,travel.place_reviews,travel,search,,
a2ae87ff20b013fc770e52dd54a7072e61d59399dcc51ed0566dd14d92f55f54,GET,/api/hotels/autocomplete,https://stabletravel.dev,Autocomplete hotel names,,keyword | subType | countryCode | lang | max,travel.place_reviews,travel,search,,
8eb46f0074fbc4c9fa8cb5bbd603ab2c1fd8e54298ab75fb85836719467149a6,POST,/api/hotels/book,https://stabletravel.dev,Create a hotel booking order,,data,travel.place_reviews,travel,provision,,
b96444f44daea5e28ae6ddae1e2a53122853bd704f0a2dfea99f9a5c7aa1be1d,GET,/api/hotels/list,https://stabletravel.dev,List hotels by city code,,cityCode | radius | radiusUnit | chainCodes | amenities | ratings | hotelScore | max,travel.place_reviews,,lookup,travel,
